[2026-07-22 17:12:04] [INFO] Evaluated 45549 BIN items. Flips Found: 255. Cache Queue: 102 pending.
[2026-07-22 17:12:04] [FLIP] [Tier 5] Mythic Bouncy Leggings              | Cost: 129,000      | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 3] Brilliant Lava Shell Necklace       | Cost: 8,999,999    | Profit: 1,301,212   | Sales/Day: 15   
[2026-07-22 17:13:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 9,000,000    | Profit: 1,201,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 9,000,000    | Profit: 1,201,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Snowy Thunderbolt Necklace          | Cost: 4,500,000    | Profit: 4,499,999   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Skeleton Master Helmet         | Cost: 400,000      | Profit: 4,956,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Miner Helmet                        | Cost: 3,900,000    | Profit: 1,501,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Skeleton Lord Leggings         | Cost: 1,200,000    | Profit: 4,500,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fierce Skeletor Helmet              | Cost: 1,000,000    | Profit: 4,356,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heavy Zombie Knight Leggings        | Cost: 259,000      | Profit: 5,112,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 399,999      | Profit: 5,021,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,999,000    | Profit: 1,202,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ancient Werewolf Leggings ✪✪✪✪✪     | Cost: 7,000,000    | Profit: 3,026,517   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 57,320,000   | Profit: 14,027,463  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Super Heavy Helmet             | Cost: 300,000      | Profit: 5,071,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fierce Skeleton Master Boots ✪✪✪✪✪  | Cost: 3,000,000    | Profit: 2,341,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 1,300,000    | Profit: 4,026,211   | Sales/Day: 196  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Spicy Zombie Knight Sword           | Cost: 200,000      | Profit: 5,221,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Pure Super Heavy Helmet             | Cost: 210,000      | Profit: 5,161,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,444,444    | Profit: 2,926,766   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 4,000,000    | Profit: 1,421,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Skeleton Master Chestplate     | Cost: 3,000,000    | Profit: 2,351,211   | Sales/Day: 338  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Trashy Rod of Champions             | Cost: 22,000,000   | Profit: 6,904,931   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Titanic Zombie Knight Helmet        | Cost: 400,000      | Profit: 5,016,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] ✿ Ancient Infernal Terror Boots     | Cost: 420,000,000  | Profit: 60,949,807  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] ✿ Ancient Infernal Terror Leggings  | Cost: 420,000,000  | Profit: 63,211,223  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Suspicious Deathripper Dagger       | Cost: 62,700,000   | Profit: 19,729,831  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 400,000      | Profit: 5,021,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Renowned Infernal Crimson Helmet    | Cost: 295,000,000  | Profit: 33,431,637  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 3,500,000    | Profit: 1,951,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Zombie Soldier Helmet          | Cost: 200,000      | Profit: 5,130,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ancient Hot Terror Leggings ✪✪✪✪✪   | Cost: 40,000,000   | Profit: 18,082,084  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 500,000      | Profit: 4,850,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fierce Zombie Soldier Boots         | Cost: 179,999      | Profit: 5,153,212   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,550,000    | Profit: 3,821,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Rooted Peony Necklace               | Cost: 5,000,000    | Profit: 6,109,599   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fine Machine Gun Shortbow           | Cost: 10,000,000   | Profit: 8,671,584   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Snowy Thunderbolt Necklace          | Cost: 9,500,000    | Profit: 4,801,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Skeleton Master Leggings       | Cost: 500,000      | Profit: 4,841,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moonglade Ring                      | Cost: 8,000,000    | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heavy Zombie Soldier Chestplate     | Cost: 1,000,000    | Profit: 4,341,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heavy Zombie Soldier Chestplate     | Cost: 500,000      | Profit: 4,841,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Skeleton Master Leggings       | Cost: 3,500,000    | Profit: 1,841,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Legendary Earthen Blade             | Cost: 1,000,000    | Profit: 4,443,075   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Brilliant Molten Necklace           | Cost: 3,670,000    | Profit: 5,079,997   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Loving Hot Aurora Chestplate        | Cost: 10,000,000   | Profit: 2,373,828   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Withered Pyrochaos Dagger           | Cost: 55,000,000   | Profit: 7,494,736   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Suspicious Deathripper Dagger       | Cost: 57,670,000   | Profit: 8,730,599   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heroic Zombie Soldier Cutlass       | Cost: 500,000      | Profit: 4,900,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fast Conjuring                      | Cost: 500,000      | Profit: 4,998,077   | Sales/Day: 159  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Epic Zombie Soldier Cutlass         | Cost: 100,000      | Profit: 5,300,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 2] Ancient Perfect Chestplate - Tier X | Cost: 19,999,999   | Profit: 2,348,317   | Sales/Day: 4    
[2026-07-22 17:13:03] [FLIP] [Tier 5] Pure Rotten Leggings                | Cost: 667,667      | Profit: 4,678,544   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Absolutely Perfect Boots - Tier XII | Cost: 25,000,000   | Profit: 9,443,792   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Goblin Chestplate                   | Cost: 1,500,000    | Profit: 3,846,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 62,899,000   | Profit: 8,350,778   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Rapid Soulstealer Bow               | Cost: 499,999      | Profit: 4,805,212   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 2,499,999    | Profit: 2,899,714   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 1,499,999    | Profit: 3,850,210   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Suspicious Pyrochaos Dagger         | Cost: 45,999,000   | Profit: 9,495,013   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 1,000,000    | Profit: 4,350,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fierce Zombie Knight Chestplate     | Cost: 999,999      | Profit: 4,401,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Withered Deathripper Dagger         | Cost: 58,000,000   | Profit: 8,225,519   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Farmer Orb                          | Cost: 13,000,000   | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 3,000,000    | Profit: 2,421,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 3,000,000    | Profit: 2,421,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 4,000,000    | Profit: 1,761,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fierce Super Heavy Helmet           | Cost: 444,444      | Profit: 4,926,766   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 1,800,000    | Profit: 3,961,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heroic Earthen Blade                | Cost: 999,999      | Profit: 4,443,076   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moonglade Ring                      | Cost: 9,000,000    | Profit: 4,301,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Titanic Zombie Soldier Helmet       | Cost: 999,999      | Profit: 4,330,212   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fast Earthen Blade ✪✪✪✪✪            | Cost: 1,000,000    | Profit: 4,443,075   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 4,000,000    | Profit: 1,371,210   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 4,000,000    | Profit: 1,371,210   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 61,999,999   | Profit: 6,496,684   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 4,000,000    | Profit: 1,399,713   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Smart Skeleton Master Leggings      | Cost: 700,000      | Profit: 4,641,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Light Skeleton Master Boots         | Cost: 1,100,000    | Profit: 4,241,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 65,000,000   | Profit: 15,442,186  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Mythic Flaming Chestplate           | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Mythic Moogma Leggings              | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 139  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Titanic Skeleton Master Leggings    | Cost: 798,000      | Profit: 4,543,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Sniper Helmet                  | Cost: 598,000      | Profit: 4,743,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Goblin Helmet                       | Cost: 2,500,000    | Profit: 2,811,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heavy Zombie Soldier Leggings       | Cost: 500,000      | Profit: 4,844,989   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Goblin Boots                        | Cost: 3,000,000    | Profit: 3,801,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Light Skeleton Master Leggings      | Cost: 799,000      | Profit: 4,542,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 500,000      | Profit: 4,850,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Clean Zombie Soldier Leggings       | Cost: 4,000,000    | Profit: 1,344,989   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Moonglade Ring                      | Cost: 9,999,999    | Profit: 3,301,212   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Light Zombie Knight Leggings        | Cost: 1,950,000    | Profit: 3,421,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Wise Zombie Knight Helmet           | Cost: 3,000,000    | Profit: 2,416,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Light Zombie Knight Leggings        | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 68,000,000   | Profit: 13,405,976  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Odd Zombie Commander Whip           | Cost: 2,000,000    | Profit: 3,687,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Absolutely Perfect Leggings - Tier  | Cost: 35,000,000   | Profit: 6,500,505   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Mythic Skeleton Master Chestplate   | Cost: 3,000,000    | Profit: 2,351,211   | Sales/Day: 338  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fine Soulstealer Bow                | Cost: 1,000,000    | Profit: 4,305,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 60,000,000   | Profit: 6,389,779   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,500,000    | Profit: 2,871,210   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Snowy Thunderbolt Necklace          | Cost: 13,000,000   | Profit: 1,301,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ancient Fiery Terror Leggings       | Cost: 100,000,000  | Profit: 16,818,647  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Pyrochaos Dagger             | Cost: 52,000,000   | Profit: 5,269,995   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 52,000,000   | Profit: 13,150,992  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 62,000,000   | Profit: 10,270,479  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Renowned Infernal Crimson Chestplat | Cost: 303,303,303  | Profit: 33,715,848  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 2,999,666    | Profit: 2,400,047   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 3,333,333    | Profit: 2,066,380   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Sharp Earthen Blade ✪✪✪✪✪           | Cost: 5,000,000    | Profit: 1,026,068   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ancient Mythos Boots                | Cost: 8,000,000    | Profit: 1,474,707   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Goblin Chestplate                   | Cost: 1,999,999    | Profit: 3,346,212   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ancient Mythos Leggings             | Cost: 40,000,000   | Profit: 4,581,775   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 1,499,999    | Profit: 3,921,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] ✿ Renowned Infernal Crimson Chestpl | Cost: 300,000,000  | Profit: 31,815,779  | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Clean Skeleton Soldier Chestplate   | Cost: 2,000,000    | Profit: 3,321,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Smart Zombie Soldier Chestplate     | Cost: 2,000,000    | Profit: 3,341,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Epic Zombie Soldier Cutlass         | Cost: 2,000,000    | Profit: 3,400,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Goblin Helmet                       | Cost: 1,490,000    | Profit: 3,821,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Miner Helmet                        | Cost: 4,000,000    | Profit: 1,401,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Legendary Zombie Commander Whip     | Cost: 3,000,000    | Profit: 2,687,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Clean Skeletor Helmet               | Cost: 1,000,000    | Profit: 4,356,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Heavy Skeleton Soldier Chestplate   | Cost: 2,300,000    | Profit: 3,021,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 3,000,000    | Profit: 2,350,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Squid Boots                         | Cost: 998,000      | Profit: 4,327,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Titanic Skeleton Soldier Chestplate | Cost: 4,000,000    | Profit: 1,321,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Hasty Sniper Bow                    | Cost: 3,000,000    | Profit: 2,431,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 2,000,000    | Profit: 3,350,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 4,000,000    | Profit: 1,451,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 116  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Withered Deathripper Dagger         | Cost: 72,000,000   | Profit: 8,487,464   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fierce Zombie Lord Boots            | Cost: 1,950,000    | Profit: 4,141,210   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Suspicious Pyrochaos Dagger         | Cost: 49,000,000   | Profit: 5,894,692   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fair Zombie Soldier Cutlass         | Cost: 500,000      | Profit: 4,900,077   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Fine Soulstealer Bow                | Cost: 1,000,000    | Profit: 4,305,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Challenger's Leggings               | Cost: 10,000,000   | Profit: 3,778,609   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 1,900,000    | Profit: 3,861,211   | Sales/Day: 999  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Gentle Conjuring                    | Cost: 3,000,000    | Profit: 2,498,077   | Sales/Day: 159  
[2026-07-22 17:13:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 2,000,000    | Profit: 3,350,209   | Sales/Day: 150  
[2026-07-22 17:13:03] [CACHE] Background Crawler mapped 10 items. Remaining in queue: 74
[2026-07-22 17:13:22] [CACHE] Background Crawler mapped 10 items. Remaining in queue: 64
[2026-07-22 17:13:42] [CACHE] Background Crawler mapped 10 items. Remaining in queue: 54
[2026-07-22 17:14:03] [INFO] Evaluated 45547 BIN items. Flips Found: 252. Cache Queue: 46 pending.
[2026-07-22 17:14:03] [FLIP] [Tier 5] Fierce Strong Dragon Boots ✪✪✪      | Cost: 2,200,000    | Profit: 1,502,385   | Sales/Day: 999  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Ancient Final Destination Boots     | Cost: 20,000,000   | Profit: 6,871,121   | Sales/Day: 246  
[2026-07-22 17:14:03] [FLIP] [Tier 4] Smart Bouncy Boots                  | Cost: 299,999      | Profit: 5,251,211   | Sales/Day: 79   
[2026-07-22 17:14:03] [FLIP] [Tier 5] Excellent Ruby Drill TX-15          | Cost: 12,170,000   | Profit: 3,029,993   | Sales/Day: 150  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Runeblade Ring                      | Cost: 4,500,000    | Profit: 1,301,211   | Sales/Day: 493  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Runeblade Ring                      | Cost: 4,500,000    | Profit: 1,301,211   | Sales/Day: 493  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Glacite Leggings                    | Cost: 4,000,000    | Profit: 1,331,211   | Sales/Day: 886  
[2026-07-22 17:14:03] [FLIP] [Tier 3] Waxed Lava Shell Necklace           | Cost: 8,000,000    | Profit: 2,551,211   | Sales/Day: 15   
[2026-07-22 17:14:03] [FLIP] [Tier 5] Fierce Adaptive Helmet ✪✪✪          | Cost: 300,000      | Profit: 1,820,847   | Sales/Day: 107  
[2026-07-22 17:14:03] [FLIP] [Tier 3] Bustling Squash Leggings            | Cost: 22,000,000   | Profit: 4,794,709   | Sales/Day: 25   
[2026-07-22 17:14:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,340,000    | Profit: 3,031,210   | Sales/Day: 116  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Calcified Water Hydra Head          | Cost: 6,500,000    | Profit: 2,201,210   | Sales/Day: 317  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Calcified Slug Boots                | Cost: 2,000,000    | Profit: 3,350,209   | Sales/Day: 150  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Calcified Moogma Leggings           | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Bustling Rancher's Boots            | Cost: 9,000,000    | Profit: 1,301,210   | Sales/Day: 209  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Fast Conjuring                      | Cost: 135,320      | Profit: 5,362,849   | Sales/Day: 159  
[2026-07-22 17:14:03] [FLIP] [Tier 4] Wise Zombie Commander Helmet        | Cost: 2,500,000    | Profit: 3,101,211   | Sales/Day: 59   
[2026-07-22 17:14:03] [FLIP] [Tier 4] Smart Zombie Commander Chestplate   | Cost: 555,000      | Profit: 4,986,211   | Sales/Day: 59   
[2026-07-22 17:14:03] [FLIP] [Tier 1] Necrotic Hot Aurora Helmet          | Cost: 11,999,999   | Profit: 1,359,634   | Sales/Day: 3    
[2026-07-22 17:14:03] [FLIP] [Tier 2] Necrotic Fiery Aurora Leggings ✪    | Cost: 75,000,000   | Profit: 7,503,517   | Sales/Day: 5    
[2026-07-22 17:14:03] [FLIP] [Tier 5] Pure Skeleton Master Chestplate     | Cost: 1,200,000    | Profit: 4,161,210   | Sales/Day: 338  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Fierce Superior Dragon Leggings ✪   | Cost: 10,780,000   | Profit: 1,576,781   | Sales/Day: 123  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:14:03] [FLIP] [Tier 5] Wise Skeleton Soldier Helmet        | Cost: 500,000      | Profit: 4,847,210   | Sales/Day: 135  
[2026-07-22 17:14:03] [FLIP] [Tier 2] Necrotic Fiery Aurora Leggings      | Cost: 75,000,000   | Profit: 10,740,782  | Sales/Day: 5    
[2026-07-22 17:14:03] [FLIP] [Tier 2] Necrotic Fiery Aurora Boots         | Cost: 75,000,000   | Profit: 8,465,213   | Sales/Day: 4    
[2026-07-22 17:14:03] [FLIP] [Tier 5] Bustling Rancher's Boots            | Cost: 8,000,000    | Profit: 2,794,708   | Sales/Day: 209  
